sgRNA	Gene	R1_Bottom	R1_Top	R1_Unsorted	R2_Bottom	R2_Top	R2_Unsorted	R3_Bottom	R3_Top	R3_Unsorted
Kcnd1_ENSMUST00000009875_7822161_7822179	ENSMUST00000009875_Kcnd1	699.038275416098	495.41920120136547	702.6748310436068	585.1266686163367	418.00855947146897	576.0998850390313	740.8882973034082	510.53551717877616	716.0011426529279
Kcnd1_ENSMUST00000009875_7822145_7822163	ENSMUST00000009875_Kcnd1	683.9122540006028	671.4100057349101	665.8957076556494	537.9213276210224	477.18729935169944	440.16620429948455	554.2377751035779	549.4239647763783	560.92663774666255
Kcnd1_ENSMUST00000009875_7822045_7822063	ENSMUST00000009875_Kcnd1	448.378491959321	623.5974750234847	622.3414825909631	369.9581375679277	418.94790454893297	432.6143331472875	439.00964660266214	543.4411266844395	551.1790974382687
Kcnd1_ENSMUST00000009875_7822021_7822039	ENSMUST00000009875_Kcnd1	830.8507477511273	1128.1722672121443	844.9519662549156	580.7354741051446	756.1727873585	601.9920147037068	846.5934399778018	944.291278844338	774.4863845032908
Cldn34b4_ENSMUST00000178974_76393402_76393420	ENSMUST00000178974_Cldn34b4	549.93892146336	462.8659888020971	583.6266158667974	472.05340995314214	331.58881234478326	461.7429790200475	527.5734147893163	459.6813933972965	454.58983438236635
Cldn34b4_ENSMUST00000178974_76393386_76393368	ENSMUST00000178974_Cldn34b4	1781.6292367251092	1644.9545140505297	1678.2894724925816	1680.7296991587457	1659.8227518788442	1582.6564257532937	1597.004723107732	1734.0259069802573	1729.7453347258852
Cldn34b4_ENSMUST00000178974_76393281_76393263	ENSMUST00000178974_Cldn34b4	1640.0928934801188	1548.3121647402018	1596.0203807037294	1340.4121245413642	1133.789508499018	1384.1500983241144	1587.4817372812101	1687.160341926737	1755.4433955389234
Cldn34b4_ENSMUST00000178974_76393195_76393213	ENSMUST00000178974_Cldn34b4	246.33806305234987	259.4084113066698	208.09240864239044	234.92890634877307	336.28553773210314	308.54787850405046	267.59590172526697	364.9531236082658	288.8816491396714
Cldn34b4_ENSMUST00000178974_76393103_76393085	ENSMUST00000178974_Cldn34b4	324.1290303320393	303.1517904681867	362.9518755390531	425.94586758562593	453.7036724151	399.1703323304149	377.11023873026943	292.16192682301056	319.8965501209245
Cldn34b4_ENSMUST00000178974_76393035_76393053	ENSMUST00000178974_Cldn34b4	825.4485972455934	718.2052485588583	874.955987966144	961.6715979510524	986.312331337174	988.2162822017839	1010.3887961939795	806.686002729746	856.8974071106204
Phf6_ENSMUST00000078944_52912163_52912181	ENSMUST00000078944_Phf6	1063.1432194890888	934.8875685914884	805.2692278626458	911.1728610723442	841.6531894077218	722.8219531388594	867.5440087961501	779.7632313160213	904.7489686245536
Phf6_ENSMUST00000078944_52912156_52912174	ENSMUST00000078944_Phf6	447.2980618582142	518.8168226133396	584.5944875349015	349.0999636397656	357.89047451377456	435.85084935537196	499.95675589240267	602.2723679218375	662.8327409707798
Phf6_ENSMUST00000078944_52912144_52912162	ENSMUST00000078944_Phf6	794.1161243134962	804.674718994415	871.0845012937275	859.5763255658379	805.0187313866268	806.971374549055	828.4997669074102	867.5115233311235	843.6053066900834
Phf6_ENSMUST00000078944_52912130_52912148	ENSMUST00000078944_Phf6	807.0812855267778	796.5364158945979	830.4338912333535	952.8892089286683	997.5844722667417	871.7016987107439	855.1641272216716	843.5801709633685	1071.3432938952844
Phf6_ENSMUST00000078944_52912086_52912104	ENSMUST00000078944_Phf6	379.23096548848594	426.2436248529202	406.50610060373947	310.6770116668354	391.70689730247767	380.8300738179364	461.8648125863149	584.3238536460211	470.5403548870108
Phf6_ENSMUST00000078944_52912073_52912091	ENSMUST00000078944_Phf6	905.4004247274964	1163.777343273844	900.1206513368517	902.3904720499601	1083.0648743159634	895.4361509033631	802.7877051758009	1264.3731167630629	1048.3036531663536
Nr0b1_ENSMUST00000026036_86191700_86191718	ENSMUST00000026036_Nr0b1	788.7139738079622	1049.8410998764048	830.4338912333535	778.3392271087855	1024.825479513197	829.6269880056461	752.3158802952345	991.1568438978584	768.2834043070402
Nr0b1_ENSMUST00000026036_86191604_86191622	ENSMUST00000026036_Nr0b1	339.2550517475344	669.3754299599558	491.67880739690395	289.8188377386733	466.8545034995957	335.5188469047541	374.25334298231286	531.4754505005619	420.91651331700587
Nr0b1_ENSMUST00000026036_86191553_86191571	ENSMUST00000026036_Nr0b1	340.3354818486412	355.0334727295206	254.55024871138923	215.16853104840897	295.8936994011522	276.182716423206	288.54647054361527	433.75576166556175	268.50042849484794
