sgRNA	Gene	PlasmidLib	R1_Top	R1_Unsorted	R2_Top	R2_Unsorted	R3_Top	R3_Unsorted
Pdha1_ENSMUST00000033662_160138591_160138609	ENSMUST00000033662_Pdha1	348.6217641315382	437.31881195257256	382.4135253960166	566.5906425569194	518.0386447072628	437.3490050309393	398.2460978254264
Gm26035_ENSMUST00000083065_152923980_152923998	ENSMUST00000083065_Gm26035	26.410739706934713	31.80500450564164	28.26534752927079	7.295158487857332	8.5079339459222	38.89467436045903	32.29022414800754
Fam220-ps_ENSMUST00000116535_75143469_75143487	ENSMUST00000116535_Fam220-ps	1391.8459825554594	2019.6177861082442	1735.824871797571	1918.6266823064784	1787.6114546376532	1806.4415425190969	1835.161072411762
Plxna3_ENSMUST00000154062_74332208_74332226	ENSMUST00000154062_Plxna3	779.1168213545741	1061.9337615494792	885.3704446668645	851.1018235833554	876.3171964299866	851.3612054456031	912.5832396115464
Gpc3_ENSMUST00000069360_52614151_52614169	ENSMUST00000069360_Gpc3	319.56995045391005	433.7849225630568	418.99221043389645	376.10594870731137	380.9663755785163	484.8869403603892	523.5629201141223
Gm23121_ENSMUST00000157653_77579132_77579150	ENSMUST00000157653_Gm23121	781.7578953252676	683.8075968712952	653.4283281766718	633.057642112953	690.0879756136895	709.6117255541525	802.6427145361874
Ccdc120_ENSMUST00000128289_7740430_7740412	ENSMUST00000128289_Ccdc120	533.4969420800812	629.0323113338013	483.0049092501862	526.0619842910454	583.2661382926664	474.5150271976001	554.3155145407961
L1cam_ENSMUST00000135104_73857662_73857644	ENSMUST00000135104_L1cam	927.0169637134085	762.4366357880205	998.4318347839477	1020.511615134709	984.084359745001	855.6828359300986	900.282201840877
Cstf2_ENSMUST00000033609_134059185_134059203	ENSMUST00000033609_Cstf2	264.10739706934714	275.64337238222754	305.09948656595236	337.1984367720722	394.20093949439524	249.79024200383685	373.64402228408727
Lrch2_ENSMUST00000134265_147498295_147498277	ENSMUST00000134265_Lrch2	699.8846022337699	481.49242932151924	506.2822542742916	594.1501301777139	628.6417860042515	513.4097015580592	695.008634042829
Rnf113a1_ENSMUST00000046433_37191154_37191172	ENSMUST00000046433_Rnf113a1	1098.686771808484	1022.1775059174271	1281.0853100766556	1367.436929890591	1355.5974753836038	1014.718837759531	1142.4588829509335
Gm1720_ENSMUST00000135086_166661739_166661757	ENSMUST00000135086_Gm1720	1085.4814019550167	931.1798541373969	912.8044584452745	1161.5513458999508	1194.8920564050734	990.5177070463565	1037.9000619002425
